model_name,total_round,Type 1,Type 2,Type 3,Type 4,SR,LR,,number_invalid_rounds,specific_types
web_free_model,25,5,13,6,1,4,28,,2,33
web_free_model,25,8,13,4,0,0,16,,3,333
web_free_model,25,7,16,2,0,0,8,,2,33
web_free_model,25,3,17,5,0,0,20,,4,3331
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
model_name,total_round,Type 1,Type 2,Type 3,Type 4,,,,,
web_free_model,23,5,13,4,1,,,,,
web_free_model,22,8,13,1,0,,,,,
web_free_model,23,7,16,0,0,,,,,
web_free_model,21,2,17,2,0,,,,,
,89,22,59,7,1,,,,,
