1,3,1,1,3,1,,,3,,,,,
2,3,3,4,,,,,4,,,,,
3,2,3,3,3,3,,,3,,,,,
4,4,,,,,,,4,,,,,
5,3,3,3,3,3,,,3,,,,,
6,3,2,1,1,1,,,3,,,,,
7,3,2,4,,,,,4,,,,,
8,3,1,3,1,1,,,3,,,,,
9,3,3,1,3,3,,,3,,,,,
10,4,,,,,,,4,,,,,
11,3,3,3,3,3,,,3,,,,,
12,1,1,1,1,1,,,1,,,,,
13,3,4,,,,,,4,,,,,
14,2,2,3,2,1,,,3,,,,,
15,3,2,1,1,3,,,3,,,,,
26,1,3,3,3,4,,,4,,,,,
27,2,3,1,1,1,,,3,,,,,
28,4,,,,,,,4,,,,,
29,1,1,1,1,1,,,1,,,,,
30,3,3,3,2,3,,,3,,,,,
31,3,3,1,1,1,,,3,,,,,
32,3,1,1,1,1,,,3,,,,,
33,1,3,2,2,1,,,3,,,,,
34,1,1,1,1,1,,,1,,,,,
35,3,1,1,1,1,,,3,,,,,
36,1,2,2,1,1,,,2,,,,,
37,1,1,1,1,1,,,1,,,,,
38,1,1,1,1,1,,,1,,,,,
39,1,1,1,1,3,,,3,,,,,
40,2,3,1,1,1,,,3,,,,,
51,3,1,1,1,1,,,3,,,,,
52,2,2,1,1,1,,,2,,,,,
53,3,1,1,1,1,,,3,,,,,
54,1,1,2,1,1,,,2,,,,,
55,1,2,1,1,1,,,2,,,,,
56,2,1,1,1,1,,,2,,,,,
57,1,1,1,1,1,,,1,,,,,
58,2,2,2,3,3,,,3,,,,,
59,3,3,4,,,,,4,,,,,
60,3,3,3,4,,,,4,,,,,
61,3,3,4,,,,,4,,,,,
62,1,1,1,1,1,,,1,,,,,
63,3,1,2,1,1,,,3,,,,,
64,2,1,1,1,1,,,2,,,,,
65,1,1,1,1,1,,,1,,,,,
76,1,2,1,3,3,,,3,,,,,
77,1,1,1,1,1,,,1,,,,,
78,2,3,1,4,,,,4,,,,,
79,2,1,1,1,1,,,2,,,,,
80,1,1,1,1,3,,,3,,,,,
81,3,2,3,1,1,,,3,,,,,
82,1,1,1,1,3,,,3,,,,,
83,1,1,3,1,3,,,3,,,,,
84,2,1,1,3,1,,,3,,,,,
85,1,1,1,1,1,,,1,,,,,
86,3,1,1,1,1,,,3,,,,,
87,2,4,,,,,,4,,,,,
88,2,3,1,1,1,,,3,,,,,
89,3,3,2,3,1,,,3,,,,,
90,4,,,,,,,4,,1,2,3,4
,,,,,,,,,,10,7,30,13
